"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.77","85007","2037","584","9083",NA,"Corynebacterineae","suborder",NA
"ubiome_bacteriacounts.78","1716","1653","584","9083",NA,"Corynebacterium","genus",NA
"ubiome_bacteriacounts.79","1653","85007","584","9083",NA,"Corynebacteriaceae","family",NA
"ubiome_bacteriacounts.80","68525","1224","540","8399",NA,"delta/epsilon subdivisions","subphylum",NA
"ubiome_bacteriacounts.81","194","72294","538","8367",NA,"Campylobacter","genus",NA
"ubiome_bacteriacounts.82","213849","29547","538","8367",NA,"Campylobacterales","order",NA
"ubiome_bacteriacounts.83","72294","213849","538","8367",NA,"Campylobacteraceae","family",NA
"ubiome_bacteriacounts.84","29547","68525","538","8367",NA,"Epsilonproteobacteria","class",NA
"ubiome_bacteriacounts.85","706435","1016","533","8290",NA,"Capnocytophaga sp. oral taxon 329","species",NA
"ubiome_bacteriacounts.86","724","712","504","7839",NA,"Haemophilus","genus",NA
"ubiome_bacteriacounts.87","84374","838","500","7776",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.88","249188","724","423","6579",NA,"Haemophilus pittmaniae","species",NA
"ubiome_bacteriacounts.89","175642","135058","396","6159",NA,"Leptotrichia sp. oral clone FP036","species",NA
"ubiome_bacteriacounts.90","45242","1016","388","6034",NA,"Capnocytophaga granulosa","species",NA
"ubiome_bacteriacounts.91","970","31977","383","5957",NA,"Selenomonas","genus",NA
"ubiome_bacteriacounts.92","1308","1301","380","5910",NA,"Streptococcus thermophilus","species",NA
"ubiome_bacteriacounts.93","425941","838","366","5692",NA,"Prevotella nanceiensis","species",NA
"ubiome_bacteriacounts.94","186804","186802","361","5615",NA,"Peptostreptococcaceae","family",NA
"ubiome_bacteriacounts.95","1257","186804","356","5537",NA,"Peptostreptococcus","genus",NA
"ubiome_bacteriacounts.96","156454","31977","309","4806",NA,"Anaeroglobus","genus",NA
"ubiome_bacteriacounts.97","156456","156454","307","4775",NA,"Anaeroglobus geminatus","species",NA
"ubiome_bacteriacounts.98","204","194","305","4744",NA,"Campylobacter showae","species",NA
"ubiome_bacteriacounts.99","851","848","291","4526",NA,"Fusobacterium nucleatum","species",NA
"ubiome_bacteriacounts.100","59735","49546","269","4184",NA,"Bergeyella","genus",NA
"ubiome_bacteriacounts.101","135073","1257","267","4153",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.102","242646","135073","267","4153",NA,"Peptostreptococcus sp. oral clone FL008","species",NA
"ubiome_bacteriacounts.103","354471","59735","265","4121",NA,"Bergeyella sp. AF14","species",NA
"ubiome_bacteriacounts.104","340486","838","253","3935",NA,"Candidatus Prevotella conceptionensis","species",NA
"ubiome_bacteriacounts.105","202","194","219","3406",NA,"Campylobacter mucosalis","species",NA
"ubiome_bacteriacounts.106","242670","84374","217","3375",NA,"Prevotella sp. oral clone ID019","species",NA
"ubiome_bacteriacounts.107","186803","186802","215","3344",NA,"Lachnospiraceae","family",NA
"ubiome_bacteriacounts.108","39779","186813","214","3328",NA,"unclassified Clostridiales (miscellaneous)","no_rank",NA
"ubiome_bacteriacounts.109","1125778","39779","214","3328",NA,"Clostridiales bacterium OBRC5-5","species",NA
"ubiome_bacteriacounts.110","186813","186802","214","3328",NA,"unclassified Clostridiales","no_rank",NA
"ubiome_bacteriacounts.111","129591","1654","195","3033",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.112","671229","29465","179","2784",NA,"Veillonella sp. oral taxon 780","species",NA
"ubiome_bacteriacounts.113","1234680","1301","173","2691",NA,"Streptococcus rubneri","species",NA
"ubiome_bacteriacounts.114","671217","838","173","2691",NA,"Prevotella sp. oral taxon 292","species",NA
"ubiome_bacteriacounts.115","242668","84374","172","2675",NA,"Prevotella sp. oral clone GU027","species",NA
"ubiome_bacteriacounts.116","186806","186802","167","2597",NA,"Eubacteriaceae","family",NA
"ubiome_bacteriacounts.117","84372","1730","167","2597",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.118","1730","186806","167","2597",NA,"Eubacterium","genus",NA
"ubiome_bacteriacounts.119","671218","1283313","166","2582",NA,"Alloprevotella rava","species",NA
"ubiome_bacteriacounts.120","1283313","171552","166","2582",NA,"Alloprevotella","genus",NA
"ubiome_bacteriacounts.121","1107316","482","164","2551",NA,"Neisseria oralis","species",NA
"ubiome_bacteriacounts.122","272548","1654","159","2473",NA,"Actinomyces dentalis","species",NA
"ubiome_bacteriacounts.123","28129","838","136","2115",NA,"Prevotella denticola","species",NA
"ubiome_bacteriacounts.124","439703","838","136","2115",NA,"Prevotella maculosa","species",NA
"ubiome_bacteriacounts.125","139041","76833","136","2115",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.126","139039","139041","136","2115",NA,"Actinobaculum sp. oral clone EL030","species",NA
"ubiome_bacteriacounts.127","163584","129591","136","2115",NA,"Actinomyces sp. oral clone CT047","species",NA
"ubiome_bacteriacounts.128","76833","2049","136","2115",NA,"Actinobaculum","genus",NA
"ubiome_bacteriacounts.129","135030","88601","131","2037",NA,"Corynebacterium sp. oral clone AK153","species",NA
"ubiome_bacteriacounts.130","88601","1716","131","2037",NA,"environmental samples","no_rank",NA
"ubiome_bacteriacounts.131","596085","838","131","2037",NA,"Prevotella aurantiaca","species",NA
"ubiome_bacteriacounts.132","39948","31977","126","1960",NA,"Dialister","genus",NA
"ubiome_bacteriacounts.133","84998","1760","119","1851",NA,"Coriobacteridae","subclass",NA
"ubiome_bacteriacounts.134","84999","84998","119","1851",NA,"Coriobacteriales","order",NA
