"","taxon","parent","count","count_norm","avg","tax_name","tax_rank","tax_color"
"ubiome_bacteriacounts.62","171549","200643","33","1452",NA,"Bacteroidales","order",NA
"ubiome_bacteriacounts.63","162289","543310","26","1144",NA,"Peptoniphilus","genus",NA
"ubiome_bacteriacounts.64","1297","2","25","1100",NA,"Deinococcus-Thermus","phylum",NA
"ubiome_bacteriacounts.65","33030","162289","24","1056",NA,"Peptoniphilus indolicus","species",NA
"ubiome_bacteriacounts.66","35757","1716","22","968",NA,"Corynebacterium cystitidis","species",NA
"ubiome_bacteriacounts.67","186803","186802","19","836",NA,"Lachnospiraceae","family",NA
"ubiome_bacteriacounts.68","386414","838","19","836",NA,"Prevotella timonensis","species",NA
"ubiome_bacteriacounts.69","838","171552","19","836",NA,"Prevotella","genus",NA
"ubiome_bacteriacounts.70","171552","171549","19","836",NA,"Prevotellaceae","family",NA
"ubiome_bacteriacounts.71","541000","186802","18","792",NA,"Ruminococcaceae","family",NA
"ubiome_bacteriacounts.72","98671","1663","16","704",NA,"Arthrobacter albus","species",NA
"ubiome_bacteriacounts.73","186804","186802","16","704",NA,"Peptostreptococcaceae","family",NA
"ubiome_bacteriacounts.74","1268","85006","16","704",NA,"Micrococcaceae","family",NA
"ubiome_bacteriacounts.75","1663","1268","16","704",NA,"Arthrobacter","genus",NA
"ubiome_bacteriacounts.76","270","188786","15","660",NA,"Thermus","genus",NA
"ubiome_bacteriacounts.77","188786","68933","15","660",NA,"Thermaceae","family",NA
"ubiome_bacteriacounts.78","68933","188787","15","660",NA,"Thermales","order",NA
"ubiome_bacteriacounts.79","188787","1297","15","660",NA,"Deinococci","class",NA
"ubiome_bacteriacounts.80","117747","976","13","572",NA,"Sphingobacteriia","class",NA
"ubiome_bacteriacounts.81","84566","200666","13","572",NA,"Sphingobacteriaceae","family",NA
"ubiome_bacteriacounts.82","200666","117747","13","572",NA,"Sphingobacteriales","order",NA
"ubiome_bacteriacounts.83","62629","1716","12","528",NA,"Corynebacterium thomssenii","species",NA
"ubiome_bacteriacounts.84","411577","165779","12","528",NA,"Anaerococcus murdochii","species",NA
"ubiome_bacteriacounts.85","1161127","186804","11","484",NA,"Murdochiella","genus",NA
"ubiome_bacteriacounts.86","80840","28216","10","440",NA,"Burkholderiales","order",NA
"ubiome_bacteriacounts.87","1485","31979","10","440",NA,"Clostridium","genus",NA
"ubiome_bacteriacounts.88","167876","167875","10","440",NA,"bacterium S119","species",NA
"ubiome_bacteriacounts.89","28216","1224","10","440",NA,"Betaproteobacteria","class",NA
"ubiome_bacteriacounts.90","38304","1716","10","440",NA,"Corynebacterium tuberculostearicum","species",NA
"ubiome_bacteriacounts.91","506","80840","10","440",NA,"Alcaligenaceae","family",NA
"ubiome_bacteriacounts.92","222","506","10","440",NA,"Achromobacter","genus",NA
